"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"VV62U58C","preprint","2025","Ji, Zimo; Wang, Xunguang; Li, Zongjie; Ma, Pingchuan; Gao, Yudong; Wu, Daoyuan; Yan, Xincheng; Tian, Tian; Wang, Shuai","Taxonomy, Evaluation and Exploitation of IPI-Centric LLM Agent Defense Frameworks","","","","10.48550/arXiv.2511.15203","http://arxiv.org/abs/2511.15203","Large Language Model (LLM)-based agents with function-calling capabilities are increasingly deployed, but remain vulnerable to Indirect Prompt Injection (IPI) attacks that hijack their tool calls. In response, numerous IPI-centric defense frameworks have emerged. However, these defenses are fragmented, lacking a unified taxonomy and comprehensive evaluation. In this Systematization of Knowledge (SoK), we present the first comprehensive analysis of IPI-centric defense frameworks. We introduce a comprehensive taxonomy of these defenses, classifying them along five dimensions. We then thoroughly assess the security and usability of representative defense frameworks. Through analysis of defensive failures in the assessment, we identify six root causes of defense circumvention. Based on these findings, we design three novel adaptive attacks that significantly improve attack success rates targeting specific frameworks, demonstrating the severity of the flaws in these defenses. Our paper provides a foundation and critical insights for the future development of more secure and usable IPI-centric agent defense frameworks.","2025-11-19","2026-01-17 20:41:14","2026-01-17 20:41:14","2026-01-17 20:41:14","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2511.15203 [cs]","","/home/arthurbrito/Zotero/storage/RI6TTHPV/Ji et al. - 2025 - Taxonomy, Evaluation and Exploitation of IPI-Centric LLM Agent Defense Frameworks.pdf","","","Computer Science - Artificial Intelligence; Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","arXiv:2511.15203","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XBM98BU9","preprint","2025","Ikbarieh, Seif; Aryal, Kshitiz; Gupta, Maanak","RAG-targeted Adversarial Attack on LLM-based Threat Detection and Mitigation Framework","","","","10.48550/arXiv.2511.06212","http://arxiv.org/abs/2511.06212","The rapid expansion of the Internet of Things (IoT) is reshaping communication and operational practices across industries, but it also broadens the attack surface and increases susceptibility to security breaches. Artificial Intelligence has become a valuable solution in securing IoT networks, with Large Language Models (LLMs) enabling automated attack behavior analysis and mitigation suggestion in Network Intrusion Detection Systems (NIDS). Despite advancements, the use of LLMs in such systems further expands the attack surface, putting entire networks at risk by introducing vulnerabilities such as prompt injection and data poisoning. In this work, we attack an LLM-based IoT attack analysis and mitigation framework to test its adversarial robustness. We construct an attack description dataset and use it in a targeted data poisoning attack that applies word-level, meaning-preserving perturbations to corrupt the Retrieval-Augmented Generation (RAG) knowledge base of the framework. We then compare pre-attack and post-attack mitigation responses from the target model, ChatGPT-5 Thinking, to measure the impact of the attack on model performance, using an established evaluation rubric designed for human experts and judge LLMs. Our results show that small perturbations degrade LLM performance by weakening the linkage between observed network traffic features and attack behavior, and by reducing the specificity and practicality of recommended mitigations for resource-constrained devices.","2025-11-09","2026-01-17 20:41:14","2026-01-17 20:41:14","2026-01-17 20:41:14","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2511.06212 [cs]","","/home/arthurbrito/Zotero/storage/S8H7HSGF/Ikbarieh et al. - 2025 - RAG-targeted Adversarial Attack on LLM-based Threat Detection and Mitigation Framework.pdf","","","Computer Science - Artificial Intelligence; Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","arXiv:2511.06212","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SBEAMWXJ","preprint","2025","Jayathilaka, Hasini","Privacy-Preserving Prompt Injection Detection for LLMs Using Federated Learning and Embedding-Based NLP Classification","","","","10.48550/arXiv.2511.12295","http://arxiv.org/abs/2511.12295","Prompt injection attacks are an emerging threat to large language models (LLMs), enabling malicious users to manipulate outputs through carefully designed inputs. Existing detection approaches often require centralizing prompt data, creating significant privacy risks. This paper proposes a privacy-preserving prompt injection detection framework based on federated learning and embedding-based classification. A curated dataset of benign and adversarial prompts was encoded with sentence embedding and used to train both centralized and federated logistic regression models. The federated approach preserved privacy by sharing only model parameters across clients, while achieving detection performance comparable to centralized training. Results demonstrate that effective prompt injection detection is feasible without exposing raw data, making this one of the first explorations of federated security for LLMs. Although the dataset is limited in scale, the findings establish a strong proof-of-concept and highlight new directions for building secure and privacy-aware LLM systems.","2025-11-15","2026-01-17 20:41:14","2026-01-17 20:41:14","2026-01-17 20:41:14","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2511.12295 [cs]","","/home/arthurbrito/Zotero/storage/U6ZQR723/Jayathilaka - 2025 - Privacy-Preserving Prompt Injection Detection for LLMs Using Federated Learning and Embedding-Based.pdf","","","Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","arXiv:2511.12295","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XNDUUP4G","preprint","2025","Peh, Steven","Prompt Fencing: A Cryptographic Approach to Establishing Security Boundaries in Large Language Model Prompts","","","","10.48550/arXiv.2511.19727","http://arxiv.org/abs/2511.19727","Large Language Models (LLMs) remain vulnerable to prompt injection attacks, representing the most significant security threat in production deployments. We present Prompt Fencing, a novel architectural approach that applies cryptographic authentication and data architecture principles to establish explicit security boundaries within LLM prompts. Our approach decorates prompt segments with cryptographically signed metadata including trust ratings and content types, enabling LLMs to distinguish between trusted instructions and untrusted content. While current LLMs lack native fence awareness, we demonstrate that simulated awareness through prompt instructions achieved complete prevention of injection attacks in our experiments, reducing success rates from 86.7% (260/300 successful attacks) to 0% (0/300 successful attacks) across 300 test cases with two leading LLM providers. We implement a proof-of-concept fence generation and verification pipeline with a total overhead of 0.224 seconds (0.130s for fence generation, 0.094s for validation) across 100 samples. Our approach is platform-agnostic and can be incrementally deployed as a security layer above existing LLM infrastructure, with the expectation that future models will be trained with native fence awareness for optimal security.","2025-11-24","2026-01-17 20:41:14","2026-01-17 20:41:14","2026-01-17 20:41:14","","","","","","","Prompt Fencing","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2511.19727 [cs]","Comment: 44 pages, 1 figure","/home/arthurbrito/Zotero/storage/2TPIJZ3K/Peh - 2025 - Prompt Fencing A Cryptographic Approach to Establishing Security Boundaries in Large Language Model.pdf","","","Computer Science - Artificial Intelligence; Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","arXiv:2511.19727","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EYRNRFKS","preprint","2025","Jamshidi, Saeid; Nafi, Kawser Wazed; Dakhel, Arghavan Moradi; Shahabi, Negar; Khomh, Foutse; Ezzati-Jivan, Naser","Securing the Model Context Protocol: Defending LLMs Against Tool Poisoning and Adversarial Attacks","","","","10.48550/arXiv.2512.06556","http://arxiv.org/abs/2512.06556","The Model Context Protocol (MCP) enables Large Language Models to integrate external tools through structured descriptors, increasing autonomy in decision-making, task execution, and multi-agent workflows. However, this autonomy creates a largely overlooked security gap. Existing defenses focus on prompt-injection attacks and fail to address threats embedded in tool metadata, leaving MCP-based systems exposed to semantic manipulation. This work analyzes three classes of semantic attacks on MCP-integrated systems: (1) Tool Poisoning, where adversarial instructions are hidden in tool descriptors; (2) Shadowing, where trusted tools are indirectly compromised through contaminated shared context; and (3) Rug Pulls, where descriptors are altered after approval to subvert behavior. To counter these threats, we introduce a layered security framework with three components: RSA-based manifest signing to enforce descriptor integrity, LLM-on-LLM semantic vetting to detect suspicious tool definitions, and lightweight heuristic guardrails that block anomalous tool behavior at runtime. Through evaluation of GPT-4, DeepSeek, and Llama-3.5 across eight prompting strategies, we find that security performance varies widely by model architecture and reasoning method. GPT-4 blocks about 71 percent of unsafe tool calls, balancing latency and safety. DeepSeek shows the highest resilience to Shadowing attacks but with greater latency, while Llama-3.5 is fastest but least robust. Our results show that the proposed framework reduces unsafe tool invocation rates without model fine-tuning or internal modification.","2025-12-06","2026-01-17 20:41:14","2026-01-17 20:41:14","2026-01-17 20:41:14","","","","","","","Securing the Model Context Protocol","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2512.06556 [cs]","","/home/arthurbrito/Zotero/storage/NN8K7RI4/Jamshidi et al. - 2025 - Securing the Model Context Protocol Defending LLMs Against Tool Poisoning and Adversarial Attacks.pdf","","","Computer Science - Artificial Intelligence; Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","arXiv:2512.06556","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZCIYVZJG","preprint","2025","Yadav, Neemesh; Ortu, Francesco; Liu, Jiarui; Yook, Joeun; Schölkopf, Bernhard; Mihalcea, Rada; Cazzaniga, Alberto; Jin, Zhijing","Are LLMs Good Safety Agents or a Propaganda Engine?","","","","10.48550/arXiv.2511.23174","http://arxiv.org/abs/2511.23174","Large Language Models (LLMs) are trained to refuse to respond to harmful content. However, systematic analyses of whether this behavior is truly a reflection of its safety policies or an indication of political censorship, that is practiced globally by countries, is lacking. Differentiating between safety influenced refusals or politically motivated censorship is hard and unclear. For this purpose we introduce PSP, a dataset built specifically to probe the refusal behaviors in LLMs from an explicitly political context. PSP is built by formatting existing censored content from two data sources, openly available on the internet: sensitive prompts in China generalized to multiple countries, and tweets that have been censored in various countries. We study: 1) impact of political sensitivity in seven LLMs through data-driven (making PSP implicit) and representation-level approaches (erasing the concept of politics); and, 2) vulnerability of models on PSP through prompt injection attacks (PIAs). Associating censorship with refusals on content with masked implicit intent, we find that most LLMs perform some form of censorship. We conclude with summarizing major attributes that can cause a shift in refusal distributions across models and contexts of different countries.","2025-11-28","2026-01-17 20:41:14","2026-01-17 20:41:14","2026-01-17 20:41:14","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2511.23174 [cs]","Comment: 15 pages, 7 tables, 4 figures","/home/arthurbrito/Zotero/storage/3KZBTCHL/Yadav et al. - 2025 - Are LLMs Good Safety Agents or a Propaganda Engine.pdf","","","Computer Science - Computation and Language","","","","","","","","","","","","","","","","","","","arXiv:2511.23174","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M8X59Y48","preprint","2025","Bandara, Eranga; Hass, Amin; Gore, Ross; Shetty, Sachin; Mukkamala, Ravi; Bouk, Safdar H.; Liang, Xueping; Keong, Ng Wee; Zoysa, Kasun De; Withanage, Aruna; Loganathan, Nilaan","ASTRIDE: A Security Threat Modeling Platform for Agentic-AI Applications","","","","10.48550/arXiv.2512.04785","http://arxiv.org/abs/2512.04785","AI agent-based systems are becoming increasingly integral to modern software architectures, enabling autonomous decision-making, dynamic task execution, and multimodal interactions through large language models (LLMs). However, these systems introduce novel and evolving security challenges, including prompt injection attacks, context poisoning, model manipulation, and opaque agent-to-agent communication, that are not effectively captured by traditional threat modeling frameworks. In this paper, we introduce ASTRIDE, an automated threat modeling platform purpose-built for AI agent-based systems. ASTRIDE extends the classical STRIDE framework by introducing a new threat category, A for AI Agent-Specific Attacks, which encompasses emerging vulnerabilities such as prompt injection, unsafe tool invocation, and reasoning subversion, unique to agent-based applications. To automate threat modeling, ASTRIDE combines a consortium of fine-tuned vision-language models (VLMs) with the OpenAI-gpt-oss reasoning LLM to perform end-to-end analysis directly from visual agent architecture diagrams, such as data flow diagrams(DFDs). LLM agents orchestrate the end-to-end threat modeling automation process by coordinating interactions between the VLM consortium and the reasoning LLM. Our evaluations demonstrate that ASTRIDE provides accurate, scalable, and explainable threat modeling for next-generation intelligent systems. To the best of our knowledge, ASTRIDE is the first framework to both extend STRIDE with AI-specific threats and integrate fine-tuned VLMs with a reasoning LLM to fully automate diagram-driven threat modeling in AI agent-based applications.","2025-12-04","2026-01-17 20:41:14","2026-01-17 20:41:14","2026-01-17 20:41:14","","","","","","","ASTRIDE","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2512.04785 [cs]","","/home/arthurbrito/Zotero/storage/Z8ZJKG59/Bandara et al. - 2025 - ASTRIDE A Security Threat Modeling Platform for Agentic-AI Applications.pdf","","","Computer Science - Artificial Intelligence; Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","arXiv:2512.04785","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TKHF6LC7","preprint","2025","Chang, Amy; Conley, Nicholas; Ganesan, Harish Santhanalakshmi; Swanda, Adam","Death by a Thousand Prompts: Open Model Vulnerability Analysis","","","","10.48550/arXiv.2511.03247","http://arxiv.org/abs/2511.03247","Open-weight models provide researchers and developers with accessible foundations for diverse downstream applications. We tested the safety and security postures of eight open-weight large language models (LLMs) to identify vulnerabilities that may impact subsequent fine-tuning and deployment. Using automated adversarial testing, we measured each model's resilience against single-turn and multi-turn prompt injection and jailbreak attacks. Our findings reveal pervasive vulnerabilities across all tested models, with multi-turn attacks achieving success rates between 25.86\% and 92.78\% -- representing a $2\times$ to $10\times$ increase over single-turn baselines. These results underscore a systemic inability of current open-weight models to maintain safety guardrails across extended interactions. We assess that alignment strategies and lab priorities significantly influence resilience: capability-focused models such as Llama 3.3 and Qwen 3 demonstrate higher multi-turn susceptibility, whereas safety-oriented designs such as Google Gemma 3 exhibit more balanced performance. The analysis concludes that open-weight models, while crucial for innovation, pose tangible operational and ethical risks when deployed without layered security controls. These findings are intended to inform practitioners and developers of the potential risks and the value of professional AI security solutions to mitigate exposure. Addressing multi-turn vulnerabilities is essential to ensure the safe, reliable, and responsible deployment of open-weight LLMs in enterprise and public domains. We recommend adopting a security-first design philosophy and layered protections to ensure resilient deployments of open-weight models.","2025-11-05","2026-01-17 20:41:14","2026-01-17 20:41:14","2026-01-17 20:41:14","","","","","","","Death by a Thousand Prompts","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2511.03247 [cs]","","/home/arthurbrito/Zotero/storage/59YFPUQF/Chang et al. - 2025 - Death by a Thousand Prompts Open Model Vulnerability Analysis.pdf","","","Computer Science - Cryptography and Security; Computer Science - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:2511.03247","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XW3NH8SK","preprint","2025","Lu, Weikai; Zeng, Ziqian; Zhang, Kehua; Li, Haoran; Zhuang, Huiping; Wang, Ruidong; Chen, Cen; Peng, Hao","ARGUS: Defending Against Multimodal Indirect Prompt Injection via Steering Instruction-Following Behavior","","","","10.48550/arXiv.2512.05745","http://arxiv.org/abs/2512.05745","Multimodal Large Language Models (MLLMs) are increasingly vulnerable to multimodal Indirect Prompt Injection (IPI) attacks, which embed malicious instructions in images, videos, or audio to hijack model behavior. Existing defenses, designed primarily for text-only LLMs, are unsuitable for countering these multimodal threats, as they are easily bypassed, modality-dependent, or generalize poorly. Inspired by activation steering researches, we hypothesize that a robust, general defense independent of modality can be achieved by steering the model's behavior in the representation space. Through extensive experiments, we discover that the instruction-following behavior of MLLMs is encoded in a subspace. Steering along directions within this subspace can enforce adherence to user instructions, forming the basis of a defense. However, we also found that a naive defense direction could be coupled with a utility-degrading direction, and excessive intervention strength harms model performance. To address this, we propose ARGUS, which searches for an optimal defense direction within the safety subspace that decouples from the utility degradation direction, further combining adaptive strength steering to achieve a better safety-utility trade-off. ARGUS also introduces lightweight injection detection stage to activate the defense on-demand, and a post-filtering stage to verify defense success. Experimental results show that ARGUS can achieve robust defense against multimodal IPI while maximally preserving the MLLM's utility.","2025-12-05","2026-01-17 20:41:14","2026-01-17 20:41:14","2026-01-17 20:41:14","","","","","","","ARGUS","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2512.05745 [cs]","","/home/arthurbrito/Zotero/storage/9CFGXY9D/Lu et al. - 2025 - ARGUS Defending Against Multimodal Indirect Prompt Injection via Steering Instruction-Following Beh.pdf","","","Computer Science - Cryptography and Security; Computer Science - Multimedia","","","","","","","","","","","","","","","","","","","arXiv:2512.05745","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XSJZP4UB","preprint","2025","Wang, Yihan; Yang, Huanqi; Pal, Shantanu; Xu, Weitao","AegisAgent: An Autonomous Defense Agent Against Prompt Injection Attacks in LLM-HARs","","","","10.48550/arXiv.2512.20986","http://arxiv.org/abs/2512.20986","The integration of Large Language Models (LLMs) into wearable sensing is creating a new class of mobile applications capable of nuanced human activity understanding. However, the reliability of these systems is critically undermined by their vulnerability to prompt injection attacks, where attackers deliberately input deceptive instructions into LLMs. Traditional defenses, based on static filters and rigid rules, are insufficient to address the semantic complexity of these new attacks. We argue that a paradigm shift is needed -- from passive filtering to active protection and autonomous reasoning. We introduce AegisAgent, an autonomous agent system designed to ensure the security of LLM-driven HAR systems. Instead of merely blocking threats, AegisAgent functions as a cognitive guardian. It autonomously perceives potential semantic inconsistencies, reasons about the user's true intent by consulting a dynamic memory of past interactions, and acts by generating and executing a multi-step verification and repair plan. We implement AegisAgent as a lightweight, full-stack prototype and conduct a systematic evaluation on 15 common attacks with five state-of-the-art LLM-based HAR systems on three public datasets. Results show it reduces attack success rate by 30\% on average while incurring only 78.6 ms of latency overhead on a GPU workstation. Our work makes the first step towards building secure and trustworthy LLM-driven HAR systems.","2025-12-24","2026-01-17 20:41:14","2026-01-17 20:41:14","2026-01-17 20:41:14","","","","","","","AegisAgent","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2512.20986 [cs]","","/home/arthurbrito/Zotero/storage/UD597SE2/Wang et al. - 2025 - AegisAgent An Autonomous Defense Agent Against Prompt Injection Attacks in LLM-HARs.pdf","","","Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","arXiv:2512.20986","","","","","","","","","","","","","","","","","","","","","","","","","","",""
